Bulk_Density,CEC,Clay_Content,Coarse_Fragments,Dist_Fault,Dist_River,Dist_Road,Geology_Nepal_ID,Geology_geo8apg_ID,LULC,NDVI,Nitrogen,Sand_Content,Silt_Content,Soil_Organic_Carbon,Soil_pH,aspect,date,elevation,precipitation,rainfall_360d,rainfall_7d,slope,longitude,latitude
112,199,211,181,9166.946948632882,379.7636582024838,6.916276157671335,027,2482,10,6153.695652173913,3634,348,441,394,55,146.04679005034177,2024-01-01,1135,0,1549.088506937027,5.856225490570068,39.339414590982756,84.48206358183933,27.867263663637956
112,202,205,192,9298.33524476076,619.9387163576438,255.53318694698427,027,2482,10,5754.565217391304,3415,346,449,354,55,144.73997666519378,2024-01-01,1185,0,1549.088506937027,5.856225490570068,32.39080758726225,84.48206358183933,27.86826366363796
112,202,205,192,9298.33524476076,619.9387163576438,255.53318694698427,027,2482,10,5754.565217391304,3415,346,449,354,55,121.63860478163596,2024-01-01,1249,0,1549.088506937027,5.856225490570068,35.36613566204139,84.48206358183933,27.86926366363796
136,104,173,86,5933.924504313136,490.31662058433017,2450.4743739041555,028,0,10,6537.565217391304,1882,391,436,231,62,20.628304386845567,2024-01-01,215,0,1534.368232011795,0.0,5.924970780713828,84.48306358183932,27.68826366363796
131,99,171,81,6179.255905406572,459.00397537948254,2260.451244947383,028,0,10,6859.0,2022,385,444,342,60,0.0,2024-01-01,216,0,1534.368232011795,0.0,2.7802885155287553,84.48306358183932,27.68926366363796
131,105,162,81,6179.255905406572,459.00397537948254,2260.451244947383,028,0,10,6859.0,2027,380,458,287,60,150.5478738817628,2024-01-01,214,0,1534.368232011795,0.0,2.1293045755156115,84.48306358183932,27.690263663637957
131,105,162,81,6424.839547756113,293.80024988226484,2015.4468404148008,028,0,10,6434.869565217391,2027,380,458,287,60,180.0,2024-01-01,212,0,1534.368232011795,0.0,0.9274099368611016,84.48306358183932,27.69126366363796
136,111,170,83,6424.839547756113,293.80024988226484,2015.4468404148008,028,0,10,6434.869565217391,1978,371,459,237,62,150.5474369592818,2024-01-01,213,0,1534.368232011795,0.0,2.129313735991578,84.48306358183932,27.69226366363796
136,111,170,83,6670.647584364562,103.67814881062998,1770.4423286937224,028,0,10,6595.913043478261,1978,371,459,237,62,0.0,2024-01-01,214,0,1534.368232011795,0.0,2.7802885155642585,84.48306358183932,27.693263663637957
135,108,172,94,6670.647584364562,103.67814881062998,1770.4423286937224,028,0,10,6595.913043478261,2160,345,483,253,61,131.52292092759967,2024-01-01,214,0,1534.368232011795,0.0,1.3988221787245891,84.48306358183932,27.69426366363796
132,107,177,103,6916.656103049139,79.89143864235459,1525.4377097871723,028,0,10,6088.739130434783,2054,350,473,253,61,270.0,2024-01-01,215,0,1534.368232011795,0.0,2.0940693224362703,84.48306358183932,27.69526366363796
132,107,177,103,6916.656103049139,79.89143864235459,1525.4377097871723,028,0,10,6088.739130434783,2054,350,473,253,61,200.62969841385637,2024-01-01,214,0,1534.368232011795,0.0,2.9704537307681456,84.48306358183932,27.696263663637957
134,103,179,104,6916.656103049139,79.89143864235459,1525.4377097871723,028,0,10,6088.739130434783,2036,347,474,249,61,286.44337073026537,2024-01-01,222,0,1534.368232011795,0.0,3.2730063106128644,84.48306358183932,27.69726366363796
134,103,179,104,7162.844458436717,79.88981215063546,1280.4329837024366,028,0,10,6198.652173913043,2036,347,474,249,61,32.837595015164716,2024-01-01,215,0,1534.368232011795,0.0,7.680807027534929,84.48306358183932,27.69826366363796
134,103,179,104,7162.844458436717,79.88981215063546,1280.4329837024366,028,0,10,6198.652173913043,2036,347,474,249,61,90.0,2024-01-01,212,0,1534.368232011795,0.0,3.139469566143405,84.48306358183932,27.699263663637957
133,107,190,104,7409.194734973008,60.63440502374189,1035.4326302337136,028,0,10,6326.304347826087,1767,358,453,205,62,180.0,2024-01-01,214,0,1534.368232011795,0.0,1.8543341688295631,84.48306358183932,27.70026366363796
130,91,195,85,7409.194734973008,60.63440502374189,1035.4326302337136,028,0,10,6326.304347826087,2051,353,452,228,61,180.0,2024-01-01,217,0,1534.368232011795,0.0,1.8543341688295631,84.48306358183932,27.70126366363796
130,91,195,85,7655.691312028546,225.82512874999236,791.7167696882823,005,0,10,6778.565217391304,2051,353,452,228,61,48.47910561218557,2024-01-01,217,0,1534.368232011795,0.0,2.7960903352034325,84.48306358183932,27.702263663637957
130,87,198,91,7655.691312028546,225.82512874999236,791.7167696882823,005,0,10,6778.565217391304,1916,372,430,251,62,77.51928031719405,2024-01-01,219,0,1534.368232011795,0.0,8.520103481902721,84.48306358183932,27.70326366363796
130,87,198,91,7902.320509250734,330.46690834697796,552.3816245283766,005,0,10,6810.086956521739,1916,372,430,251,62,143.02056581725736,2024-01-01,223,0,1534.368232011795,0.0,10.33568409323924,84.48306358183932,27.704263663637956
132,106,205,117,7902.320509250734,330.46690834697796,552.3816245283766,005,0,10,6810.086956521739,1631,404,391,238,62,209.455497698131,2024-01-01,234,0,1534.368232011795,0.0,2.1293752692028396,84.48306358183932,27.705263663637957
131,93,207,105,7902.320509250734,330.46690834697796,552.3816245283766,005,0,10,6810.086956521739,1948,404,389,284,62,228.48011912637526,2024-01-01,238,0,1534.368232011795,0.0,2.7961461119482656,84.48306358183932,27.70626366363796
131,106,212,104,8149.070295473336,330.46017787097236,317.3769506468373,005,0,10,6515.782608695652,2133,402,386,275,62,209.45593492966773,2024-01-01,242,0,1534.368232011795,0.0,2.129384437722305,84.48306358183932,27.707263663637956
131,106,212,104,8149.070295473336,330.46017787097236,317.3769506468373,005,0,10,6515.782608695652,2133,402,386,275,62,48.48069835041387,2024-01-01,235,0,1534.368232011795,0.0,4.19011411772837,84.48306358183932,27.70826366363796
133,97,219,105,8395.930048319155,330.453446888207,82.37452526375776,005,0,10,6355.695652173913,1904,391,390,233,61,270.0,2024-01-01,238,0,1534.368232011795,0.0,2.0943356319079225,84.48306358183932,27.70926366363796
133,97,219,105,8395.930048319155,330.453446888207,82.37452526375776,005,0,10,6355.695652173913,1904,391,390,233,61,73.5584903519845,2024-01-01,236,0,1534.368232011795,0.0,3.273365785121079,84.48306358183932,27.710263663637956
131,97,211,104,8642.890354522007,330.44671539858246,152.62800290512575,005,0,10,6326.782608695652,2153,383,406,270,62,106.44135121929757,2024-01-01,237,0,1534.368232011795,0.0,3.273396390022898,84.48306358183932,27.71126366363796
131,97,211,104,8642.890354522007,330.44671539858246,152.62800290512575,005,0,10,6326.782608695652,2153,383,406,270,62,73.55880721592602,2024-01-01,233,0,1534.368232011795,0.0,3.2734269966945955,84.48306358183932,27.71226366363796
132,93,221,107,8889.94284317562,330.43998340229746,387.6306338267517,005,0,10,6621.304347826087,2281,392,387,283,61,150.5426906541701,2024-01-01,237,0,1582.3269444704056,0.0,4.252960181517141,84.48306358183932,27.713263663637957
132,93,221,107,8889.94284317562,330.43998340229746,387.6306338267517,005,0,10,6621.304347826087,2281,392,387,283,61,98.39323138158159,2024-01-01,242,0,1582.3269444704056,0.0,6.328291090119046,84.48306358183932,27.71426366363796
132,93,221,107,8889.94284317562,330.43998340229746,387.6306338267517,005,0,10,6621.304347826087,2281,392,387,283,61,59.45175559570442,2024-01-01,240,0,1582.3269444704056,0.0,3.644720520542398,84.48306358183932,27.71526366363796
130,102,207,108,9137.08004575132,196.1788987496306,622.6333674687716,005,0,10,6804.434782608696,2308,397,396,285,61,113.8756875889988,2024-01-01,238,0,1582.3269444704056,0.0,4.573253566922834,84.48306358183932,27.716263663637957
131,94,206,101,9137.08004575132,196.1788987496306,622.6333674687716,005,0,10,6804.434782608696,2443,389,405,305,61,150.54181581958503,2024-01-01,250,0,1582.3269444704056,0.0,6.3649252577861075,84.48306358183932,27.71726366363796
131,89,216,119,9384.295278028441,30.899388124506633,857.6362037991936,005,0,10,6774.0,2493,392,392,284,61,0.0,2024-01-01,256,0,1582.3269444704056,0.0,0.9274099368611016,84.48306358183932,27.71826366363796
131,89,216,119,9384.295278028441,30.899388124506633,857.6362037991936,005,0,10,6774.0,2493,392,392,284,61,289.49881162192185,2024-01-01,253,0,1582.3269444704056,0.0,5.540046811719525,84.48306358183932,27.719263663637957
132,92,222,126,9631.582540035217,79.87354049601412,1092.6391427842466,005,0,10,6703.652173913043,2204,387,391,276,60,297.97444417651104,2024-01-01,245,0,1582.3269444704056,0.0,5.910737510194749,84.48306358183932,27.72026366363796
132,92,222,126,9631.582540035217,79.87354049601412,1092.6391427842466,005,0,10,6703.652173913043,2204,387,391,276,60,286.43992508400015,2024-01-01,249,0,1582.3269444704056,0.0,3.2736719140610733,84.48306358183932,27.72126366363796
132,116,232,107,9878.936430894575,79.87191265672341,1313.2011133482852,005,0,10,6754.95652173913,2344,363,406,289,59,278.3925991370645,2024-01-01,252,0,1582.3269444704056,0.0,6.328760567655969,84.48306358183932,27.722263663637957
131,105,239,132,9878.936430894575,79.87191265672341,1313.2011133482852,005,0,10,6754.95652173913,2210,370,391,287,59,259.9603114456314,2024-01-01,250,0,1582.3269444704056,0.0,5.305095372689897,84.48306358183932,27.72326366363796
132,109,234,117,10126.35207604385,79.87028469513267,1518.387284743613,003,0,10,6778.695652173913,2440,362,404,301,59,276.3140750845523,2024-01-01,255,0,1582.3269444704056,0.0,8.373262156485286,84.48306358183932,27.72426366363796
132,109,234,117,10126.35207604385,79.87028469513267,1518.387284743613,003,0,10,6778.695652173913,2440,362,404,301,59,278.3923883495432,2024-01-01,255,0,1582.3269444704056,0.0,6.328917104977605,84.48306358183932,27.725263663637957
132,118,231,113,10126.35207604385,79.87028469513267,1518.387284743613,003,0,10,6778.695652173913,2450,358,410,287,59,222.10630536523448,2024-01-01,262,0,1582.3269444704056,0.0,6.226140717461318,84.48306358183932,27.72626366363796
132,118,231,113,10373.825064791505,79.86865661094417,1723.5735451677074,003,0,10,6857.521739130435,2450,358,410,287,59,278.3922407866782,2024-01-01,260,0,1582.3269444704056,0.0,6.3290266944375055,84.48306358183932,27.72726366363796
132,109,219,134,10373.825064791505,79.86865661094417,1723.5735451677074,003,0,10,6857.521739130435,2330,372,409,291,60,319.7253620115174,2024-01-01,240,0,1582.3269444704056,0.0,14.284384629868022,84.48306358183932,27.728263663637957
132,109,219,134,10621.351396536356,62.803310807390886,1920.6815739690044,003,0,10,6653.565217391304,2330,372,409,291,60,66.1269056851119,2024-01-01,247,0,1582.3269444704056,0.0,6.842472820477055,84.48306358183932,27.72926366363796
132,118,251,134,10621.351396536356,62.803310807390886,1920.6815739690044,003,0,10,6653.565217391304,2307,351,398,288,59,101.12798746219242,2024-01-01,239,0,1582.3269444704056,0.0,9.522582228523138,84.48306358183932,27.73026366363796
132,118,251,134,10868.927434288718,228.06629519492787,2107.4630815125734,003,0,10,6499.347826086957,2307,351,398,288,59,242.02797502689958,2024-01-01,251,0,1582.3269444704056,0.0,5.911204102832392,84.48306358183932,27.731263663637957
132,118,251,134,10868.927434288718,228.06629519492787,2107.4630815125734,003,0,10,6499.347826086957,2307,351,398,288,59,0.0,2024-01-01,248,0,1582.3269444704056,0.0,0.0,84.48306358183932,27.73226366363796
133,119,250,144,11116.549864352664,393.32935169944426,2292.918479785242,003,0,10,6501.260869565217,2449,343,407,290,59,253.56173936553506,2024-01-01,250,0,1582.3269444704056,0.0,3.2739935407303036,84.48306358183932,27.73326366363796
133,119,247,133,11116.549864352664,393.32935169944426,2292.918479785242,003,0,10,6501.260869565217,2475,346,407,292,59,66.12782443701767,2024-01-01,251,0,1582.3269444704056,0.0,2.29059146829729,84.48306358183932,27.734263663637957
133,119,247,133,11116.549864352664,393.32935169944426,2292.918479785242,003,0,10,6501.260869565217,2475,346,407,292,59,250.50385272218693,2024-01-01,249,0,1582.3269444704056,0.0,10.979803982613303,84.48306358183932,27.73526366363796
133,119,247,133,11364.215661255974,558.5924801852736,2094.2050990712282,003,0,10,6543.0,2475,346,407,292,59,270.0,2024-01-01,263,0,1582.3269444704056,0.0,5.224948246935858,84.48306358183932,27.736263663637956
133,124,252,130,11364.215661255974,558.5924801852736,2094.2050990712282,003,0,10,6543.0,2481,347,402,294,59,159.36317861578937,2024-01-01,264,0,1582.3269444704056,0.0,2.97059253466819,84.48306358183932,27.737263663637957
133,124,252,130,11611.92205713318,723.892217286856,1907.2313904661753,003,0,10,6826.260869565217,2481,347,402,294,59,66.12863523066737,2024-01-01,266,0,1582.3269444704056,0.0,2.290664635658882,84.48306358183932,27.73826366363796
132,147,251,134,11611.92205713318,723.892217286856,1907.2313904661753,003,0,10,6826.260869565217,2257,331,418,281,59,48.488813068371556,2024-01-01,261,0,1582.3269444704056,0.0,2.796624693034396,84.48306358183932,27.739263663637956
132,147,251,134,11859.666514925699,909.826216433625,1733.7835858924461,003,0,10,6871.086956521739,2257,331,418,281,59,145.86606349774038,2024-01-01,263,0,1582.3269444704056,0.0,5.5848750677052665,84.48306358183932,27.74026366363796
132,153,273,147,11859.666514925699,909.826216433625,1733.7835858924461,003,0,10,6871.086956521739,2413,310,417,298,58,209.46356168252223,2024-01-01,268,0,1582.3269444704056,0.0,4.253221379533956,84.48306358183932,27.74126366363796
132,153,273,147,11873.21371984066,1120.3414729626652,1562.8008010733772,003,0,10,6934.217391304348,2413,310,417,298,58,131.51046189694011,2024-01-01,272,0,1582.3269444704056,0.0,4.19084188998058,84.48306358183932,27.742263663637956
